ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
OZJSITL,6,TILSZO;TILJSO;TIJSZO,J;Z;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpzhywA8RpilR4wwD8BtR4F8glBtE8JeAgWGAaNM?gCU+AAA;v115@9gRpwhwwilR4A8Rpwhi0R4D8whxwg0F8whwwglE8Je?AgWGAJtHgC0CBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
OJZSITL,6,TILSZO;TILJSO;TIJSZO,J;Z;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpzhywA8RpilR4wwD8BtR4F8glBtE8JeAgWGAaNM?gCU+AAA;v115@9gRpwhwwilR4A8Rpwhi0R4D8whxwg0F8whwwglE8Je?AgWGAJtHgC0CBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
JOZSITL,6,TILSZO;TILJSO;TIJSZO,J;Z;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpzhywA8RpilR4wwD8BtR4F8glBtE8JeAgWGAaNM?gCU+AAA;v115@9gRpwhwwilR4A8Rpwhi0R4D8whxwg0F8whwwglE8Je?AgWGAJtHgC0CBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
JZOSITL,6,TILSZO;TILJSO;TIJSZO,J;Z;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpzhywA8RpilR4wwD8BtR4F8glBtE8JeAgWGAaNM?gCU+AAA;v115@9gRpwhwwilR4A8Rpwhi0R4D8whxwg0F8whwwglE8Je?AgWGAJtHgC0CBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
IZOJTSL,4,TILSZO;TILJSO;TIJSZO,J;Z;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8Rpg0BtwwR4D8zhF8i0E8JeAgWGApvb?gC6OBAA
JZSOITL,6,TILSZO;TILJSO;TIJSZO,J;Z;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpzhywA8RpilR4wwD8BtR4F8glBtE8JeAgWGAaNM?gCU+AAA;v115@9gRpwhwwilR4A8Rpwhi0R4D8whxwg0F8whwwglE8Je?AgWGAJtHgC0CBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
JZSIOTL,5,TILJSO;TILSZO;TIJSZO,Z;J;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gRpzhywA8RpilR4wwD8BtR4F8glBtE8JeAgWGAaNM?gCU+AAA;v115@9gRpwhwwilR4A8Rpwhi0R4D8whxwg0F8whwwglE8Je?AgWGAJtHgC0CBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
JZSITOL,3,TILJSO;TILSZO,Z;J,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gRpzhywA8RpilR4wwD8BtR4F8glBtE8JeAgWGAaNM?gCU+AAA
IOZJTSL,4,TILSZO;TILJSO;TIJSZO,J;Z;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8Rpg0BtwwR4D8zhF8i0E8JeAgWGApvb?gC6OBAA
JZSITLO,2,TILJSO,Z,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA
ZJLITOS,2,TLJSZO;TILJZO,I;S,v115@9gRph0wwzhA8Rpg0xwilD8BtwwglF8g0BtE8JeAgWG?A6CmPCP+AAA;v115@9gRpwwhlh0R4A8Rpxwglg0R4D8Btglg0F8wwBtE8Je?AgWGAat/VCUHBAA
JSZITLO,2,TILJSO,Z,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA
OIZJTSL,4,TILSZO;TILJSO;TIJSZO,J;Z;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8Rpg0BtwwR4D8zhF8i0E8JeAgWGApvb?gC6OBAA
JSZITOL,3,TILJSO;TILSZO,Z;J,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gRpzhywA8RpilR4wwD8BtR4F8glBtE8JeAgWGAaNM?gCU+AAA
JSZIOTL,5,TILJSO;TILSZO;TIJSZO,Z;J;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gRpzhywA8RpilR4wwD8BtR4F8glBtE8JeAgWGAaNM?gCU+AAA;v115@9gRpwhwwilR4A8Rpwhi0R4D8whxwg0F8whwwglE8Je?AgWGAJtHgC0CBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
JSZOITL,6,TILSZO;TILJSO;TIJSZO,J;Z;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpzhywA8RpilR4wwD8BtR4F8glBtE8JeAgWGAaNM?gCU+AAA;v115@9gRpwhwwilR4A8Rpwhi0R4D8whxwg0F8whwwglE8Je?AgWGAJtHgC0CBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
OZIJTSL,4,TILSZO;TILJSO;TIJSZO,J;Z;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8Rpg0BtwwR4D8zhF8i0E8JeAgWGApvb?gC6OBAA
ZOIJTSL,4,TILSZO;TILJSO;TIJSZO,J;Z;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8Rpg0BtwwR4D8zhF8i0E8JeAgWGApvb?gC6OBAA
ZIOJTSL,4,TILSZO;TILJSO;TIJSZO,J;Z;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpBtywR4A8Rpg0BtwwR4D8zhF8i0E8JeAgWGApvb?gC6OBAA
JSOZITL,6,TILSZO;TILJSO;TIJSZO,J;Z;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpzhywA8RpilR4wwD8BtR4F8glBtE8JeAgWGAaNM?gCU+AAA;v115@9gRpwhwwilR4A8Rpwhi0R4D8whxwg0F8whwwglE8Je?AgWGAJtHgC0CBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
JOSZITL,6,TILSZO;TILJSO;TIJSZO,J;Z;L,v115@9gRpwhhlh0R4A8Rpwhwwglg0R4D8whxwg0F8whwwgl?E8JeAgWGAUujPCMHBAA;v115@9gRphlwhh0R4A8Rpwwglwhg0R4D8xwwhg0F8wwglwh?E8JeAgWGAp+jPCMHBAA;v115@9gilzhR4A8glywRpR4D8BtRpF8wwBtE8JeAgWGAaH+?tCpCBAA;v115@9gRpzhywA8RpilR4wwD8BtR4F8glBtE8JeAgWGAaNM?gCU+AAA;v115@9gRpwhwwilR4A8Rpwhi0R4D8whxwg0F8whwwglE8Je?AgWGAJtHgC0CBAA;v115@9gRpBtywR4A8RpzhR4D8g0BtwwF8i0E8JeAgWGAK9C?MC6OBAA
